name,tm,nat,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Phil Foden,Manchester City,eng,19,M(C),171,70,3(10),330,1,-,-,-,1.1,86.6,0.2,-,0.5,0.3,0.3,-,0.1,0.5,-,-,0.6,0.6,0.4,-,0.4,0.3,17.8,0.1,0.2,-
David Silva,Manchester City,es,33,M(CLR),173,67,28(5),2412,6,8,3,-,1.5,87.8,0.6,1,0.9,0.7,0.8,-,0.4,0.6,-,-,2.2,0.9,0.8,0.2,0.9,0.8,61.1,0.5,1.2,0.2
Raheem Sterling,Manchester City,eng,24,"M(CLR),FW",170,69,31(3),2777,17,10,3,-,2.3,85.8,0.4,8,0.9,0.5,1.2,-,0.1,0.5,0.1,-,1.9,2.4,1.3,0.4,2.6,2.2,37.1,0.4,0.3,-
John Stones,Manchester City,eng,25,D(CR),188,70,20(4),1763,-,-,1,-,0.2,94.2,2.5,-,0.7,0.6,0.3,0.3,2.5,0.2,0.4,-,0.2,0.3,0.3,-,0.1,-,73,-,4.3,-
Danilo,Manchester City,br,27,D(LR),184,78,9(2),806,1,-,1,-,1.3,87,1.6,1,1.8,1.4,0.9,0.3,1.8,0.5,-,-,0.4,0.7,0.7,-,0.5,0.7,69.7,0.2,1.7,-
Sergio Agüero,Manchester City,ar,31,"AM(CL),FW",173,70,31(2),2480,21,8,3,-,3.6,85,0.5,5,0.5,0.3,0.6,-,0.1,0.1,-,-,1,1.4,0.8,0.8,1.6,2.2,23.4,-,0.1,0.1
Ilkay Gündogan,Manchester City,de,28,M(C),180,79,23(8),2136,6,3,3,-,1.4,90.8,0.8,2,0.6,0.9,0.4,-,0.6,0.8,0.1,-,1.4,0.6,0.7,-,0.5,0.9,64.4,0.9,2.4,0.1
Aymeric Laporte,Manchester City,fr,25,D(CL),191,86,34(1),3057,3,3,3,-,0.7,92.3,2.2,1,1.2,1.1,0.6,0.4,2.7,0.3,0.3,-,0.4,0.1,0.5,0.1,0.1,0.3,85.6,-,4.9,-
Benjamin Mendy,Manchester City,fr,24,"D(L),DMC,M(L)",185,85,10,900,-,5,1,-,0.7,88.3,0.8,-,1.6,1,1.2,0.4,1.6,0.8,0.4,-,1.2,0.9,0.2,-,1.1,0.9,65,1.1,1.8,-
Bernardo Silva,Manchester City,pt,24,AM(CLR),173,64,31(5),2853,7,7,3,-,1.7,86.1,0.3,4,1.4,0.7,0.9,-,0.7,1.4,0.1,-,2,1.4,0.7,0.1,1,1.2,47.4,0.3,2,0.1
Kyle Walker,Manchester City,eng,29,"D(CR),M(R)",178,70,30(3),2777,1,1,3,-,0.6,90.1,1.4,-,1.2,1.1,0.5,0.2,1.5,0.4,0.2,-,0.7,0.5,0.4,0.1,0.4,0.8,72.4,0.1,3.5,-
Leroy Sané,Manchester City,de,23,M(CLR),183,75,21(10),1867,10,10,1,-,1.8,84.4,0.3,1,0.8,0.3,0.3,-,0.1,0.7,0.1,-,1.3,1.8,0.5,0.6,1.4,2.3,27.3,0.5,0.1,0.1
Oleksandr Zinchenko,Manchester City,ua,22,"D(L),M(CR)",175,64,14,1153,-,3,1,-,0.5,91.5,1.7,-,2.4,1.4,1.1,-,1.1,1.4,0.2,-,0.9,0.4,0.4,0.1,0.4,0.5,84.6,0.5,2.6,-
Kevin De Bruyne,Manchester City,be,28,"M(CLR),FW",181,68,11(8),978,2,2,2,-,1.6,83.7,0.3,2,1.2,0.2,0.5,0.1,0.1,0.7,0.1,-,1.9,1,0.8,0.1,0.7,1.2,38.2,1.1,2.4,0.2
Fernandinho,Manchester City,br,34,"D(R),DMC",179,67,27(2),2382,1,3,5,-,1,87.5,2.6,2,2,1.4,1.4,0.1,2.4,0.7,0.1,-,0.8,0.7,0.9,0.1,0.4,0.9,70.7,-,2.7,0.2
Nicolás Otamendi,Manchester City,ar,31,D(C),183,81,14(4),1234,-,-,1,-,0.8,92.7,2.2,-,1.4,1.6,0.4,0.6,3.1,0.2,0.2,-,0.1,0.1,0.2,-,-,0.1,69,-,2.6,-
Ederson,Manchester City,br,25,GK,188,86,38,3420,-,1,2,-,-,82.6,0.3,-,0.1,-,0.1,-,0.5,-,-,-,0.1,-,0.1,-,-,-,24.2,-,3.3,-
Gabriel Jesus,Manchester City,br,22,"AM(LR),FW",175,73,8(21),1022,7,3,1,-,1.5,82.6,0.5,1,0.3,0.1,0.4,-,0.1,0.2,0.1,-,0.7,0.8,0.6,0.5,1,1.1,12.3,-,0.1,-
Riyad Mahrez,Manchester City,dz,28,AM(CLR),179,67,14(13),1338,7,4,-,-,2,84.7,0.7,3,0.5,0.3,0.4,-,0.1,0.4,-,-,0.9,0.9,0.6,0.3,1,1,29.5,0.6,1.4,0.2
Fabian Delph,Manchester City,eng,29,"D(L),M(CL)",174,60,8(3),725,-,1,1,1,0.4,91.3,0.8,-,2.1,1.2,0.5,0.3,1.5,1,-,-,0.3,0.7,0.6,-,0.1,0.9,62.9,0.3,2.4,-
Vincent Kompany,Manchester City,be,33,D(C),190,85,13(4),1223,1,-,6,-,0.3,93,2.2,-,0.9,0.9,1,0.6,3.2,0.1,0.5,-,0.1,0.2,-,0.1,-,0.3,72.2,-,3.7,-
Alisson,Liverpool,br,26,GK,191,91,38,3420,-,-,1,-,-,80.3,0.3,-,0.1,-,-,-,0.8,-,-,-,-,0.1,-,-,-,-,28.3,-,4.8,-
Mohamed Salah,Liverpool,eg,27,"AM(CLR),FW",175,71,37(1),3262,22,8,1,-,3.6,75.9,0.3,8,0.6,0.1,0.7,-,0.1,0.3,-,-,1.8,2.1,0.8,0.7,3.1,2.9,28.4,0.4,0.6,0.3
Roberto Firmino,Liverpool,br,27,"M(CLR),FW",181,76,31(3),2620,12,6,-,-,2.2,80.8,0.9,4,0.9,0.2,1.1,-,0.4,0.8,-,-,1.3,1.4,0.3,0.2,1.8,2.3,37.6,0.1,0.5,0.1
Adam Lallana,Liverpool,eng,31,AM(CLR),172,73,5(8),465,-,-,1,-,0.4,82.1,0.7,-,1.2,0.4,0.3,-,0.1,0.5,0.1,-,0.7,0.6,0.8,-,0.8,0.8,23.2,0.2,0.4,-
Alex Oxlade Chamberlain,Liverpool,eng,25,M(CLR),180,70,0(2),19,-,-,-,-,0.5,76.9,-,-,0.5,0.5,-,-,-,-,-,-,0.5,0.5,0.5,-,-,0.5,6.5,-,-,-
Divock Origi,Liverpool,be,24,"AM(LR),FW",185,75,4(8),368,3,1,-,-,1.1,70.4,0.3,-,0.5,-,0.2,0.1,0.1,0.3,-,-,0.3,0.5,0.4,0.3,0.8,0.8,9,-,0.5,-
Fabinho,Liverpool,br,25,"D(R),DMC",188,78,21(7),2013,1,2,6,-,0.6,85.3,2,-,2.1,1,1,0.2,0.9,1.3,0.2,-,0.6,0.4,1.1,-,0.6,0.4,57.5,0.1,2.6,-
Dejan Lovren,Liverpool,hr,30,D(C),188,84,11(2),986,1,-,1,-,0.5,86.6,4.1,1,1.2,0.8,0.2,1.2,3.9,0.6,0.5,-,0.1,-,0.8,-,0.1,0.2,63.2,0.2,2.6,0.1
Joel Matip,Liverpool,cm,27,D(C),195,90,17(5),1535,1,-,3,-,0.4,86.9,3,2,1.8,1.5,0.5,0.8,3.5,0.5,0.3,-,0.1,0.3,0.8,-,-,0.3,61,-,2.1,-
Trent Alexander-Arnold,Liverpool,eng,20,"D(R),M(R)",175,69,27(2),2467,1,12,3,-,1,77.5,0.3,1,2.1,1.2,0.5,0.3,2.1,1.1,0.1,-,1.7,0.5,0.2,0.1,0.5,1.4,58.5,2,4,0.1
Jordan Henderson,Liverpool,eng,29,M(CLR),182,67,21(11),1983,1,3,1,1,0.5,87.2,0.8,-,1.4,0.9,0.8,-,0.4,0.7,0.1,-,0.5,0.2,0.4,-,0.3,0.7,54.4,0.2,3.3,0.1
Xherdan Shaqiri,Liverpool,ch,27,M(CLR),169,72,11(13),1059,6,3,2,-,1.1,81.2,0.1,1,0.6,0.3,0.4,-,0.3,0.4,-,-,0.8,0.3,0.6,0.1,0.8,1,26.6,0.5,1.5,0.2
Nathaniel Clyne,Liverpool,eng,28,"D(LR),M(R)",175,67,1(3),108,-,-,-,-,0.8,83.1,0.3,-,1,0.5,-,-,0.3,0.5,-,-,-,-,0.5,-,0.3,0.3,14.8,-,0.3,-
Virgil van Dijk,Liverpool,nl,28,D(C),193,92,38,3385,4,2,1,-,0.8,89.7,4.8,4,1,1.1,0.3,1.1,5.2,-,0.5,-,0.2,0.2,0.6,-,-,0.2,79.9,-,5.3,-
Andrew Robertson,Liverpool,sct,25,"D(L),M(L)",178,64,36,3219,-,11,4,-,0.4,83.2,0.7,1,2.2,0.8,0.5,0.5,1.3,0.9,0.2,-,1.4,0.8,0.4,-,0.6,0.9,66.6,0.6,2.2,-
Alberto Moreno,Liverpool,es,27,"D(L),M(L)",171,65,2,155,-,-,-,-,0.5,87.6,-,-,1.5,1,0.5,1,-,1,-,-,1.5,1,0.5,-,-,1.5,52.5,0.5,1,-
Daniel Sturridge,Liverpool,eng,29,"M(R),FW",188,76,4(14),500,2,1,1,-,1,80,0.2,-,0.2,0.1,0.3,-,-,0.1,-,-,0.4,0.3,0.6,0.2,0.6,0.9,10.6,0.1,0.5,0.1
Joe Gomez,Liverpool,eng,22,D(CLR),188,77,12(4),1060,-,-,2,-,0.3,87.5,1.5,-,1.1,0.9,0.8,0.4,2.4,0.4,0.3,-,0.4,0.3,0.6,-,0.1,0.6,49.2,0.1,2,-
Naby Keita,Liverpool,gn,24,M(C),172,64,16(9),1394,2,1,-,-,1.1,88.5,0.4,-,1.5,0.5,1,-,0.5,1.1,0.2,-,0.4,1,0.6,-,1.2,1.4,40.2,-,0.6,0.1
Georginio Wijnaldum,Liverpool,nl,28,M(CL),175,69,32(3),2736,3,-,3,-,0.9,91.1,0.9,1,1.2,0.6,0.5,-,0.7,0.4,0.2,-,0.7,0.8,0.9,0.1,1.1,1.5,50.5,0.1,1.6,-
Sadio Mané,Liverpool,sn,27,"AM(CLR),FW",175,69,35(1),3086,22,1,2,-,2.4,78.2,1,6,1,0.4,0.9,0.1,0.2,0.8,0.1,-,1.3,1.4,1.8,0.7,1.3,2.9,32.9,0.2,1.3,0.1
James Milner,Liverpool,eng,33,"D(LR),M(CLR)",175,70,19(12),1787,5,4,5,1,0.8,84.6,0.6,1,1.4,0.6,0.9,0.2,0.7,0.8,0.2,-,1.4,0.5,0.9,-,0.3,1,45.2,1.2,2.6,0.1
Rafael Camacho,Liverpool,pt,19,Midfielder,175,68,0(1),1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ruben Loftus-Cheek,Chelsea,eng,23,M(CLR),191,88,6(18),985,6,2,-,-,1.2,87.9,0.9,1,0.8,0.5,0.4,-,0.2,0.4,0.2,-,0.7,1.7,1,0.1,1,1,25.4,-,0.5,-
Pedro,Chelsea,es,31,M(CLR),169,65,21(10),1781,8,2,2,-,1.8,86.5,0.3,5,0.9,0.6,0.5,-,0.3,0.8,0.1,-,0.9,1.4,0.8,0.3,1.1,1,34.4,0.3,1.2,0.1
Álvaro Morata,Chelsea,es,26,"AM(L),FW",189,85,11(5),943,5,-,3,-,2.2,76.9,1.1,-,0.5,-,1.2,-,0.4,0.4,0.1,-,0.4,0.4,1,1.3,1.4,1.8,14.3,-,0.3,-
Willy Caballero,Chelsea,ar,37,GK,186,81,2,180,-,-,-,-,-,77.8,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,27,-,7.5,-
Andreas Christensen,Chelsea,dk,23,"D(C),DMC",188,78,6(2),615,-,-,1,-,-,92.8,2.3,-,1.3,0.5,1,0.4,3.4,0.4,0.3,-,-,0.1,0.4,-,-,0.4,57.3,-,1.1,-
Davide Zappacosta,Chelsea,it,27,"D(R),M(R)",185,70,1(3),125,-,-,-,-,0.5,80,0.8,-,-,0.8,0.5,-,1,0.3,-,-,0.3,0.5,0.3,-,0.5,0.5,18.8,-,0.5,-
Gary Cahill,Chelsea,eng,33,D(C),193,86,0(2),22,-,-,-,-,-,88.9,0.5,-,-,-,-,0.5,0.5,-,-,-,-,-,-,-,-,-,9,-,-,-
Gonzalo Higuaín,Chelsea,ar,31,FW,186,89,13(1),1092,5,-,-,-,3.3,77.2,0.5,-,0.7,0.1,0.4,-,0.4,0.6,-,-,1.1,0.6,0.1,0.8,1.4,1.4,22.6,-,0.9,-
Kepa Arrizabalaga,Chelsea,es,24,GK,189,84,36,3240,-,-,2,-,-,85.4,0.2,1,-,-,-,-,0.4,-,-,-,-,-,0.1,-,-,-,27.9,-,5.2,-
Victor Moses,Chelsea,ng,28,M(CLR),177,79,0(2),26,-,-,-,-,-,76.9,-,-,-,-,0.5,-,-,-,-,-,0.5,-,0.5,-,1,0.5,6.5,-,-,-
N'Golo Kanté,Chelsea,fr,28,DMC,168,68,36,3096,4,4,3,-,0.8,87.9,0.8,1,2.1,1.2,1,-,0.7,1.2,0.2,-,1.3,0.9,0.4,0.2,1.5,1.6,56.2,0.2,1,0.1
Willian,Chelsea,br,30,AM(CLR),175,77,26(6),2109,3,6,2,-,1.9,85.7,0.3,2,1.1,0.4,0.4,-,0.3,0.5,-,-,2.5,1.2,1,0.3,1.2,1.6,38.4,1.2,1.2,0.1
Olivier Giroud,Chelsea,fr,32,FW,192,93,7(20),834,2,4,1,-,1.2,68.2,1.4,-,0.1,0.1,0.4,-,0.2,0.1,-,-,0.7,0.1,0.2,0.2,0.2,0.8,9.7,-,0.2,-
Cesc Fàbregas,Chelsea,es,32,"M(CL),FW",180,77,1(5),176,-,-,1,-,0.2,86.5,0.3,-,1,0.2,0.2,-,-,0.7,0.2,-,0.5,-,0.5,-,0.3,0.3,32.2,-,1.3,0.5
Marcos Alonso,Chelsea,es,28,"D(CL),M(L)",188,84,31,2761,2,4,6,-,1.5,85,2.1,2,2.4,1.3,0.9,0.2,2.8,0.8,0.1,-,1.1,0.5,1.2,0.1,0.9,1,60.7,0.3,1.4,-
Mateo Kovacic,Chelsea,hr,25,M(CL),178,78,21(11),1745,-,2,3,-,0.9,92,0.3,-,1.4,0.3,0.6,-,0.6,0.8,0.1,-,0.8,1.3,1,-,1.2,0.8,45.9,-,0.9,0.2
Emerson,Chelsea,it,24,"D(L),M(L)",176,63,7(3),660,-,-,-,-,0.5,89.9,0.5,-,1.4,0.8,0.8,0.2,0.8,0.4,0.1,-,0.5,1,0.6,-,0.9,0.8,43.6,0.3,0.6,0.1
César Azpilicueta,Chelsea,es,29,"D(CLR),M(R)",178,76,38,3403,1,5,4,-,0.4,87,1.8,1,2.8,1.1,1,0.4,2,0.8,0.4,-,0.7,0.3,0.4,0.1,0.2,0.9,65.3,0.6,1.3,0.1
Jorginho,Chelsea,it,27,DMC,180,65,37,3165,2,-,8,-,0.5,89.3,0.4,-,2.1,1.7,0.9,-,0.9,1.4,0.2,-,0.8,0.4,0.6,-,0.8,0.9,84.3,-,2.5,0.4
Callum Hudson-Odoi,Chelsea,eng,18,AM(R),182,76,4(6),391,-,1,-,-,0.6,86,0.2,-,0.8,0.3,0.1,-,-,0.2,-,-,0.9,1.2,0.6,0.3,0.7,1.1,20.7,0.6,0.4,-
Antonio Rüdiger,Chelsea,de,26,D(CR),190,85,33,2874,1,-,7,-,0.8,91.5,2.5,-,1,1,0.8,0.6,2.9,0.4,0.2,-,0.2,0.1,0.5,-,0.3,0.2,76.9,-,4.5,0.1
David Luiz,Chelsea,br,32,"D(C),DMC",189,84,36,3239,3,2,3,-,0.9,88,2.3,-,1.1,1,0.9,0.7,4,0.2,0.5,-,0.6,0.3,0.8,-,0.1,0.4,72.8,-,6,0.3
Eden Hazard,Chelsea,be,28,"M(CLR),FW",173,76,32(5),2926,16,15,2,-,2.5,84.3,0.5,14,0.4,0.4,0.3,-,0.1,0.3,-,-,2.6,3.7,2.8,0.3,2.3,2.4,49.2,0.9,2.7,0.3
Ross Barkley,Chelsea,eng,25,M(CLR),189,76,13(14),1243,3,5,1,-,1.5,91.2,0.7,1,0.6,0.3,0.5,-,0.5,0.4,-,-,0.8,0.6,1,-,1.2,0.7,35.3,-,1.5,0.1
Kyle Walker-Peters,Tottenham,eng,22,D(R),173,62,4(2),374,-,3,1,-,0.3,83,0.5,-,1.2,0.7,0.7,-,0.7,0.2,0.2,-,1.2,1.5,1.7,0.2,0.5,0.5,31.3,0.7,0.5,-
Luke Amos,Tottenham,eng,22,Midfielder,179,70,0(1),2,-,-,-,-,-,33.3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
Jan Vertonghen,Tottenham,be,32,D(CL),189,87,22,1915,1,-,3,1,0.7,87.5,2.3,1,1.8,1.5,0.5,0.9,3.3,0.5,0.5,-,0.2,0.4,0.5,-,0.1,0.5,69.6,0.2,3.1,-
Juan Foyth,Tottenham,ar,21,D(CR),179,69,10(2),890,1,-,3,1,0.3,85.2,2.1,1,2.6,0.8,1.3,0.8,4,0.4,0.4,-,0.3,1.6,0.8,-,0.8,0.9,48.8,-,1.8,0.1
Son Heung-Min,Tottenham,kr,27,"M(CLR),FW",183,78,23(8),2049,12,6,2,1,2.4,85.6,0.1,4,0.7,0.3,0.4,-,0.1,0.8,0.1,-,1.1,1.5,0.6,0.7,1.4,1.9,24.3,0.2,0.4,0.1
Paulo Gazzaniga,Tottenham,ar,27,GK,196,90,3,270,-,-,-,-,-,64.2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0.3,31.7,-,6,-
Hugo Lloris,Tottenham,fr,32,GK,188,82,33,2970,-,-,-,-,-,73.6,0.3,2,-,-,-,-,1,0.1,-,-,-,-,0.1,-,-,0.1,31.7,-,6.7,-
Eric Dier,Tottenham,eng,25,"D(CR),DMC",188,88,18(2),1510,3,-,4,-,0.5,84.9,1.8,-,1.3,1.1,1.2,-,2.1,1.4,0.6,-,0.4,0.1,0.5,-,0.5,0.6,54.2,0.1,2.3,0.1
Danny Rose,Tottenham,eng,29,"D(L),M(L)",173,72,20(6),1798,-,3,5,-,0.6,73.7,1,1,1.9,0.9,1,0.2,0.8,0.5,0.2,-,1,1.3,1.8,-,0.7,1.9,35.7,0.8,1,-
Ben Davies,Tottenham,wls,26,"D(CL),M(L)",181,76,20(7),1839,-,-,2,-,0.5,82.8,1.7,1,2.1,0.9,0.7,0.3,2.3,0.6,0.4,-,0.6,0.1,0.5,-,0.4,0.7,40.2,0.3,1.2,-
Oliver Skipp,Tottenham,eng,18,Midfielder,0,0,2(6),216,-,-,-,-,0.3,83.9,1.3,-,0.9,0.1,0.5,-,0.8,0.3,0.1,-,0.1,0.3,0.4,-,0.3,0.3,17.9,-,0.5,-
Vincent Janssen,Tottenham,nl,25,FW,180,79,0(3),36,-,-,-,-,1,77.8,1,-,0.7,-,0.7,-,0.3,-,-,-,-,0.3,-,0.3,0.3,-,3,-,-,-
Christian Eriksen,Tottenham,dk,27,M(CLR),182,76,30(5),2772,8,12,3,-,2.4,81,0.4,2,1.2,0.4,0.5,-,0.2,1.2,0.1,-,2.1,0.5,0.5,0.1,0.8,1.7,53.5,0.9,2.3,0.3
Kieran Trippier,Tottenham,eng,28,"D(R),M(R)",178,71,26(1),2278,1,3,2,-,0.3,78.9,1.1,1,2.5,0.9,0.7,0.6,2.3,0.9,0.2,1,1.8,0.3,0.9,0.2,0.5,0.7,57.1,2,2.6,0.1
Harry Winks,Tottenham,eng,23,DMC,178,65,17(9),1592,1,-,4,-,0.3,91.8,0.5,1,0.8,0.8,0.6,-,0.7,1,0.1,-,0.3,0.7,0.6,0.1,0.8,0.6,53.4,-,2.2,-
Toby Alderweireld,Tottenham,be,30,D(CR),187,90,33(1),2924,-,-,3,-,0.6,88.5,1.6,-,1.1,0.7,0.3,0.6,4.9,0.3,0.6,1,0.2,-,-,-,-,0.2,69.4,0.1,7.1,0.1
Serge Aurier,Tottenham,ci,26,"D(CLR),M(R)",176,76,6(2),564,-,2,1,-,0.5,75.5,1.5,-,2.5,0.9,2.1,0.5,2.1,0.9,0.3,-,0.8,1,0.3,0.1,0.9,1.5,33.6,0.9,0.6,-
Dele Alli,Tottenham,eng,23,M(CL),188,76,22(3),1835,5,3,4,-,1.6,80.3,0.8,1,1.3,0.8,0.9,-,0.7,0.8,0.2,-,1.1,1.2,0.8,0.1,1.2,2,41.1,0.1,1,0.1
Georges-Kévin Nkoudou,Tottenham,fr,24,AM(LR),174,68,0(1),4,-,1,-,-,-,66.7,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,3,1,-,-
Victor Wanyama,Tottenham,ke,28,DMC,188,80,4(9),513,1,-,2,-,0.5,81,1.1,-,1,0.5,0.8,-,0.7,0.5,0.2,-,0.2,0.5,0.5,-,0.3,0.6,25.1,0.1,0.1,-
Davinson Sánchez,Tottenham,co,23,D(C),187,81,22(1),1943,1,1,2,-,0.6,89.9,2.9,-,1.6,1.3,0.9,1.1,4.4,0.7,0.4,-,0.2,-,0.4,-,0.1,0.3,62.6,-,2.7,-
Lucas Moura,Tottenham,br,26,"AM(CLR),FW",172,72,25(7),2128,10,-,3,-,1.4,76.1,1.1,3,1.1,0.8,0.8,-,0.8,0.6,-,-,0.8,1.4,1.5,0.4,1.1,2.1,22.6,-,0.4,-
Erik Lamela,Tottenham,ar,27,AM(CLR),181,79,9(10),973,4,2,2,-,1.5,83.2,0.2,1,0.9,0.4,1.2,-,0.1,0.5,-,-,1.2,1.1,0.9,0.1,1.1,1.5,22.2,0.5,0.4,0.2
Fernando Llorente,Tottenham,es,34,FW,193,90,6(14),685,1,4,2,-,1.2,66.4,2.7,-,0.2,0.1,0.6,-,0.5,0.1,0.1,1,0.7,0.3,0.3,0.3,0.6,1.4,11.2,-,0.2,-
Mousa Dembélé,Tottenham,be,31,M(CR),185,87,7(3),516,-,-,1,-,0.1,89.6,0.6,-,1.3,0.7,1.2,0.1,0.5,0.3,0.1,-,-,0.7,0.3,-,0.7,0.9,30.8,-,0.4,-
Harry Kane,Tottenham,eng,25,"AM(C),FW",188,86,27(1),2427,17,4,5,-,3.6,73.1,1.8,6,0.4,-,1.1,-,0.5,0.5,0.2,-,1.1,1.4,1.9,0.4,1.6,2.9,19.7,0.1,1.6,-
Michel Vorm,Tottenham,nl,35,GK,183,84,2,180,-,-,-,-,-,77.3,0.5,1,-,-,-,-,1,-,-,-,-,-,-,-,-,0.5,22,-,2.5,-
Moussa Sissoko,Tottenham,fr,29,M(CR),187,83,27(2),2337,-,3,2,-,0.5,86.7,0.8,-,1.2,0.6,0.8,-,0.7,0.5,0.1,-,0.9,1.2,0.7,0.1,1,1.4,46.5,0.1,1.4,-
Alexandre Lacazette,Arsenal,fr,28,"M(LR),FW",175,73,27(8),2507,13,8,2,-,2.3,74.2,1.3,4,1,0.4,1.5,-,0.8,0.7,-,-,0.9,1.3,1.5,0.7,1.7,2,22,0.1,0.5,0.1
Eddie Nketiah,Arsenal,eng,20,Forward,175,72,0(5),63,1,-,-,-,0.6,90,-,-,0.2,-,0.2,-,0.2,-,-,-,0.2,0.4,0.4,0.4,0.6,0.4,4,-,-,-
Héctor Bellerín,Arsenal,es,24,"D(R),M(R)",178,74,18(1),1535,-,5,3,-,0.9,84.2,1.1,-,0.8,1.1,0.8,0.2,1.7,0.4,0.3,1,0.4,0.8,0.3,0.1,0.8,1.1,41.3,0.5,1.3,0.1
